51  37  (Number of Rows and Columns)
   1.15   5.0199   5.0155   5.0021   4.9801   4.9497   4.9115   4.8661   4.8142   4.7569   4.6948   4.6291   4.5605   4.4898   4.4179   4.3455   4.2731   4.2014   4.1309   4.0619   3.9949   3.9302   3.8680   3.8086   3.7521   3.6989   3.6490   3.6027   3.5600   3.5211   3.4863   3.4555   3.4291   3.4071   3.3897   3.3772   3.3696   3.3670
   1.20   5.3546   5.3494   5.3337   5.3078   5.2723   5.2276   5.1746   5.1144   5.0479   4.9763   4.9006   4.8218   4.7411   4.6591   4.5769   4.4950   4.4141   4.3348   4.2575   4.1825   4.1103   4.0411   3.9751   3.9126   3.8537   3.7986   3.7475   3.7004   3.6577   3.6193   3.5855   3.5565   3.5324   3.5133   3.4995   3.4912   3.4884
   1.25   5.7086   5.7025   5.6842   5.6540   5.6125   5.5605   5.4990   5.4293   5.3526   5.2703   5.1835   5.0936   5.0017   4.9089   4.8159   4.7237   4.6329   4.5441   4.4578   4.3744   4.2942   4.2175   4.1446   4.0756   4.0108   3.9502   3.8941   3.8425   3.7957   3.7537   3.7167   3.6850   3.6586   3.6378   3.6227   3.6136   3.6106
   1.30   6.0830   6.0758   6.0545   6.0194   5.9712   5.9109   5.8399   5.7595   5.6714   5.5771   5.4782   5.3760   5.2719   5.1671   5.0625   4.9592   4.8577   4.7587   4.6628   4.5704   4.4818   4.3972   4.3170   4.2412   4.1701   4.1038   4.0424   3.9861   3.9350   3.8893   3.8490   3.8144   3.7857   3.7631   3.7467   3.7367   3.7334
   1.35   6.4785   6.4702   6.4455   6.4047   6.3489   6.2794   6.1976   6.1053   6.0045   5.8970   5.7846   5.6690   5.5516   5.4338   5.3167   5.2013   5.0883   4.9786   4.8725   4.7705   4.6729   4.5800   4.4921   4.4092   4.3316   4.2593   4.1924   4.1312   4.0757   4.0260   3.9823   3.9448   3.9136   3.8891   3.8713   3.8606   3.8570
   1.40   6.8962   6.8866   6.8579   6.8109   6.7465   6.6665   6.5726   6.4672   6.3523   6.2302   6.1030   5.9726   5.8408   5.7089   5.5783   5.4500   5.3248   5.2035   5.0866   4.9745   4.8675   4.7659   4.6698   4.5795   4.4951   4.4165   4.3440   4.2777   4.2175   4.1638   4.1165   4.0760   4.0424   4.0158   3.9966   3.9850   3.9811
   1.45   7.3369   7.3258   7.2928   7.2386   7.1647   7.0729   6.9656   6.8454   6.7149   6.5768   6.4334   6.2870   6.1394   5.9924   5.8473   5.7051   5.5669   5.4334   5.3050   5.1823   5.0654   4.9546   4.8502   4.7521   4.6605   4.5755   4.4971   4.4254   4.3606   4.3026   4.2517   4.2080   4.1718   4.1432   4.1225   4.1100   4.1058
   1.50   7.8017   7.7890   7.7510   7.6888   7.6041   7.4992   7.3769   7.2404   7.0928   6.9370   6.7760   6.6121   6.4476   6.2842   6.1235   5.9667   5.8147   5.6682   5.5277   5.3938   5.2665   5.1462   5.0330   4.9268   4.8279   4.7361   4.6516   4.5745   4.5047   4.4424   4.3877   4.3408   4.3019   4.2712   4.2490   4.2356   4.2311
   1.55   8.2915   8.2769   8.2334   8.1622   8.0654   7.9459   7.8071   7.6526   7.4860   7.3110   7.1307   6.9480   6.7652   6.5843   6.4070   6.2345   6.0678   5.9077   5.7546   5.6088   5.4708   5.3405   5.2181   5.1036   4.9970   4.8983   4.8075   4.7247   4.6499   4.5831   4.5245   4.4743   4.4326   4.3998   4.3760   4.3616   4.3568
   1.60   8.8075   8.7907   8.7410   8.6597   8.5495   8.4137   8.2565   8.0821   7.8949   7.6989   7.4977   7.2946   7.0922   6.8926   6.6976   6.5085   6.3263   6.1518   5.9854   5.8274   5.6780   5.5374   5.4055   5.2823   5.1678   5.0620   4.9647   4.8760   4.7960   4.7246   4.6621   4.6084   4.5639   4.5289   4.5035   4.4881   4.4830
   1.65   9.3505   9.3314   9.2747   9.1822   9.0570   8.9032   8.7257   8.5295   8.3196   8.1008   7.8770   7.6519   7.4285   7.2089   6.9951   6.7885   6.5901   6.4004   6.2201   6.0493   5.8882   5.7368   5.5951   5.4629   5.3403   5.2270   5.1231   5.0285   4.9431   4.8670   4.8003   4.7432   4.6958   4.6585   4.6314   4.6150   4.6095
   1.70   9.9216   9.8999   9.8354   9.7304   9.5886   9.4149   9.2150   8.9949   8.7604   8.5167   8.2686   8.0199   7.7740   7.5332   7.2996   7.0744   6.8588   6.6534   6.4585   6.2744   6.1011   5.9386   5.7867   5.6453   5.5143   5.3935   5.2827   5.1819   5.0910   5.0101   4.9392   4.8785   4.8282   4.7885   4.7598   4.7424   4.7365
   1.75  10.5220  10.4973  10.4242  10.3053  10.1450   9.9493   9.7248   9.4786   9.2172   8.9468   8.6724   8.3986   8.1286   7.8653   7.6107   7.3661   7.1326   6.9106   6.7006   6.5027   6.3168   6.1427   5.9804   5.8295   5.6898   5.5612   5.4434   5.3363   5.2398   5.1540   5.0788   5.0144   4.9610   4.9190   4.8885   4.8701   4.8639
   1.80  11.1527  11.1248  11.0420  10.9076  10.7269  10.5070  10.2556   9.9809   9.6904   9.3910   9.0885   8.7877   8.4923   8.2052   7.9284   7.6634   7.4111   7.1720   6.9463   6.7340   6.5350   6.3491   6.1759   6.0152   5.8667   5.7301   5.6051   5.4916   5.3894   5.2985   5.2189   5.1508   5.0944   5.0498   5.0176   4.9981   4.9915
   1.85  11.8148  11.7832  11.6898  11.5383  11.3351  11.0885  10.8077  10.5020  10.1800   9.8494   9.5168   9.1873   8.8649   8.5526   8.2526   7.9662   7.6943   7.4373   7.1953   6.9681   6.7557   6.5575   6.3733   6.2026   6.0450   5.9002   5.7679   5.6478   5.5397   5.4437   5.3596   5.2877   5.2281   5.1811   5.1471   5.1264   5.1195
   1.90  12.5094  12.4738  12.3685  12.1981  11.9702  11.6944  11.3814  11.0420  10.6860  10.3220   9.9572   9.5972   9.2462   8.9075   8.5831   8.2743   7.9820   7.7064   7.4475   7.2051   6.9788   6.7680   6.5724   6.3914   6.2246   6.0714   5.9316   5.8048   5.6908   5.5895   5.5009   5.4251   5.3622   5.3127   5.2768   5.2550   5.2477
